OBJECTID,EDGELEVEL,TOLL,LTN,MED,RST,UUID,OBJVAL,left,top,right,bottom,length,hex_id
"39822",1,Keine Gebühr,"2",Without median,Paved,{CD27EE8E-B761-4FF8-8914-F9A5E20CFCE3},NebenStr3,2600605.378703330177814,1197937.262499999953434,2601182.728972519747913,1197437.262499999953434,"27","117769"
"39823",2,Keine Gebühr,"2",Without median,Paved,{E5914A78-9E64-4438-B5FA-F7EEC3F63AA8},NebenStr3,2600172.366001438349485,1197687.262499999953434,2600749.716270627453923,1197187.262499999953434,"83","117327"
"39824",1,Keine Gebühr,"2",Without median,Paved,{767AC319-7E31-4557-9AAD-253DC8432B04},NebenStr3,2600172.366001438349485,1198687.262499999953434,2600749.716270627453923,1198187.262499999953434,"75","117325"
"39824",1,Keine Gebühr,"2",Without median,Paved,{767AC319-7E31-4557-9AAD-253DC8432B04},NebenStr3,2600605.378703330177814,1198937.262499999953434,2601182.728972519747913,1198437.262499999953434,"553","117767"
"39824",1,Keine Gebühr,"2",Without median,Paved,{767AC319-7E31-4557-9AAD-253DC8432B04},NebenStr3,2600605.378703330177814,1198437.262499999953434,2601182.728972519747913,1197937.262499999953434,"28","117768"
"39824",1,Keine Gebühr,"2",Without median,Paved,{767AC319-7E31-4557-9AAD-253DC8432B04},NebenStr3,2601038.391405222471803,1199187.262499999953434,2601615.741674412041903,1198687.262499999953434,"15","118208"
"39825",1,Keine Gebühr,"4",With median,Paved,{8279EE93-07F0-4602-B799-ACA5936449FE},HauptStrAB6,2597141.277088192757219,1198937.262499999953434,2597718.627357382327318,1198437.262499999953434,"156","114231"
"39826",1,Keine Gebühr,"4",With median,Paved,{AE850EB3-2622-42F7-A897-17DBA0DCC1AD},HauptStrAB6,2597141.277088192757219,1198937.262499999953434,2597718.627357382327318,1198437.262499999953434,"2","114231"
"39826",1,Keine Gebühr,"4",With median,Paved,{AE850EB3-2622-42F7-A897-17DBA0DCC1AD},HauptStrAB6,2597574.289790085051209,1199187.262499999953434,2598151.640059274621308,1198687.262499999953434,"138","114672"
"39828",1,Keine Gebühr,"2",Without median,Paved,{1BE3CC22-A17C-4966-97F4-EE2ECF4B6DCB},NebenStr3,2604502.493020360358059,1198687.262499999953434,2605079.843289549928159,1198187.262499999953434,"236","121745"
"39828",1,Keine Gebühr,"2",Without median,Paved,{1BE3CC22-A17C-4966-97F4-EE2ECF4B6DCB},NebenStr3,2604935.505722252652049,1198437.262499999953434,2605512.855991442687809,1197937.262499999953434,"134","122188"
"39831",1,Keine Gebühr,"2",Without median,Paved,{706C7A96-6C6F-48EE-B31E-A2C4A3E3581F},NebenStr3,2599306.340597653761506,1200687.262499999953434,2599883.690866843331605,1200187.262499999953434,"71","116437"
